iter	Logloss
0	0.5649696847
1	0.4566191287
2	0.3766448818
3	0.3131259811
4	0.2688001297
5	0.2344783431
6	0.2053220461
7	0.1804462032
8	0.1618354217
9	0.145278012
10	0.128851425
11	0.1149136579
12	0.1048615437
13	0.09524204072
14	0.08862408404
15	0.08232283452
16	0.07626590017
17	0.07113038524
18	0.06650615025
19	0.06228378493
20	0.05767620644
21	0.05440038915
22	0.05138839737
23	0.04852962243
24	0.04611206213
25	0.04312121376
26	0.04114550473
27	0.03888131198
28	0.03699853277
29	0.03484720756
30	0.03319636912
31	0.03133797266
32	0.02983339885
33	0.02865566826
34	0.02671329151
35	0.02540944862
36	0.02413431997
37	0.02319040479
38	0.02247130444
39	0.02183343646
40	0.0209688733
41	0.02012667163
42	0.01949865143
43	0.01872201422
44	0.01822347196
45	0.01763311232
46	0.01711305261
47	0.01649433848
48	0.01609664646
49	0.01562099038
50	0.01520709154
51	0.01470193742
52	0.01421234045
53	0.01369204357
54	0.01335633101
55	0.0129839421
56	0.01267347708
57	0.0123957401
58	0.01207220473
59	0.01179388854
60	0.01150771627
61	0.01124946893
62	0.01090608195
63	0.01067992437
64	0.01052611276
65	0.01034589699
66	0.01001533083
67	0.009875484148
68	0.009681853055
69	0.009492613901
70	0.009253894892
71	0.009067427184
72	0.008891734242
73	0.008766617915
74	0.008605434725
75	0.008497880668
76	0.008289771018
77	0.008141313062
78	0.007978373911
79	0.00787822224
80	0.007663010877
81	0.007575077905
82	0.007419405146
83	0.007309375482
84	0.007191226943
85	0.007052703975
86	0.006963502301
87	0.006871429668
88	0.006765479318
89	0.006692969901
90	0.00659282884
91	0.006515570601
92	0.006436376882
93	0.006344951749
94	0.006256856679
95	0.006179869059
96	0.006114815932
97	0.006027147108
98	0.005965456211
99	0.005883725861
100	0.005819940511
101	0.005769384372
102	0.005688068072
103	0.005620233766
104	0.005555345357
105	0.005463415455
106	0.005406191146
107	0.005352418834
108	0.005293178199
109	0.005250039877
110	0.005192825485
111	0.00513223179
112	0.005082358368
113	0.005028352139
114	0.004957203176
115	0.004908726287
116	0.004859996285
117	0.004764112259
118	0.004675859495
119	0.004626329029
120	0.004581536915
121	0.004531179458
122	0.00449483933
123	0.004450354574
124	0.004399964929
125	0.004369782305
126	0.004335022547
127	0.004304084626
128	0.004265163271
129	0.004229309305
130	0.004197691996
131	0.004167320185
